loan_id,applicant_name,age,gender,income,employment_type,credit_score,loan_amount,loan_purpose,application_date,approval_status
LN0056,Eric Hunter,33,Female,53271,Self-employed,301,1140351,Home Improvement,2025-03-10,Rejected
LN0057,Lindsey Phillips,33,Female,256124,Salaried,638,1356851,Education,2025-03-30,Approved
LN0058,Frank Newman,28,Female,295878,Salaried,718,734055,Medical,2024-10-01,Approved
LN0059,Mason Greene,56,Male,130579,Salaried,688,1470438,Personal,2025-02-15,Approved
LN0060,Jill Howell,40,Female,317276,Self-employed,611,651701,Personal,2024-06-02,Approved
LN0061,Joseph Palmer,58,Female,273787,Salaried,518,1122009,Medical,2023-12-03,Rejected
LN0062,John Macias,31,Male,178785,Salaried,643,245847,Personal,2024-12-27,Approved
LN0063,Meghan Jones,35,Male,107255,Salaried,550,1046433,Home Improvement,2024-11-12,Rejected
LN0064,Timothy Smith,25,Female,247286,Self-employed,499,1556480,Medical,2025-04-13,Rejected
LN0065,Daniel Terrell,36,Male,373963,Self-employed,409,1682465,Medical,2023-11-21,Approved
LN0066,William Martinez,54,Female,56328,Salaried,424,1007269,Personal,2025-03-08,Rejected
LN0067,Brenda Turner,54,Female,425968,Self-employed,816,944940,Home Improvement,2024-07-25,Approved
LN0068,Roy Gardner,31,Female,265966,Salaried,553,1811320,Education,2023-10-31,Rejected
LN0069,Andrew Jenkins,54,Female,358596,Salaried,750,212494,Education,2024-02-11,Approved
LN0070,Cory Cruz,42,Female,498203,Salaried,441,366314,Personal,2024-06-13,Rejected
LN0071,Eric Leach,30,Male,63674,Salaried,638,1187938,Medical,2023-09-15,Approved
LN0072,Brian Lee,34,Female,234198,Unemployed,320,1846697,Home Improvement,2025-07-04,Rejected
LN0073,Dylan Adkins,21,Female,186559,Self-employed,729,1178730,Home Improvement,2025-03-29,Rejected
LN0074,Connie Leonard,35,Female,145040,Salaried,797,110869,Medical,2023-10-07,Approved
LN0075,Brian Harrison,46,Male,470667,Salaried,430,1354967,Home Improvement,2024-05-21,Approved
LN0076,Rebekah Harris,46,Male,74012,Self-employed,438,1867919,Medical,2024-09-30,Approved
LN0077,Melissa Medina,37,Female,201627,Salaried,634,757789,Medical,2023-10-26,Approved
LN0078,James Robinson,47,Female,467733,Salaried,319,1620817,Home Improvement,2025-03-02,Approved
LN0079,Johnathan Kennedy,43,Male,370862,Salaried,341,1631741,Business,2023-12-13,Rejected
LN0080,Steven Hester,33,Male,355758,Salaried,429,1043129,Business,2024-12-04,Rejected
LN0081,James Ray,34,Female,396721,Salaried,677,401879,Home Improvement,2024-11-17,Approved
LN0082,Anne Bird,28,Male,193073,Salaried,326,1998017,Education,2024-05-01,Rejected
LN0083,Devin Lucas,45,Female,404873,Salaried,548,263702,Education,2024-10-08,Rejected
LN0084,Sharon Berg,59,Male,447452,Unemployed,342,778139,Home Improvement,2024-11-01,Rejected
LN0085,Andrew Gonzalez,44,Male,295269,Self-employed,312,1831689,Medical,2023-09-01,Rejected
LN0086,Daniel Johnson,27,Female,219890,Self-employed,770,1533333,Personal,2023-12-19,Approved
LN0087,Ashley Martin,54,Female,352915,Self-employed,795,1024910,Medical,2024-04-25,Rejected
LN0088,John Gomez,58,Female,198980,Self-employed,388,634954,Medical,2024-08-07,Approved
LN0089,Marcus Watson,50,Female,206368,Salaried,632,431345,Medical,2023-11-23,Approved
LN0090,Ian Hudson,37,Female,176621,Self-employed,582,1215578,Business,2023-10-20,Rejected
LN0091,Debra Smith,33,Male,156540,Self-employed,800,1214288,Personal,2024-05-17,Approved
LN0092,Thomas Butler,52,Female,445725,Salaried,601,514721,Medical,2024-07-21,Approved
LN0093,Alexander Byrd,40,Female,278124,Salaried,652,942346,Home Improvement,2025-05-31,Approved
LN0094,Kathryn Fisher,50,Female,190758,Salaried,423,1562642,Personal,2025-05-04,Rejected
LN0095,Dylan Foley,55,Male,130422,Salaried,795,629861,Home Improvement,2024-07-26,Rejected
LN0096,Daniel House,54,Female,82704,Self-employed,603,527066,Education,2024-04-11,Approved
LN0097,William Cole,21,Male,173818,Salaried,355,1210477,Education,2025-02-17,Rejected
LN0098,Gerald Lee,29,Female,83785,Self-employed,591,1034396,Medical,2024-10-08,Rejected
LN0099,Sandra Pratt,32,Male,162371,Unemployed,789,289258,Business,2024-11-07,Rejected
LN0100,Joel Murphy,25,Male,109548,Salaried,611,228637,Personal,2025-07-03,Approved
LN0101,David Ruiz,47,Male,436686,Salaried,761,1955271,Medical,2024-03-19,Approved
LN0102,Amanda Pierce,58,Female,190107,Salaried,361,1328488,Business,2025-04-26,Rejected
LN0103,Nina Gordon,34,Male,168750,Self-employed,460,553033,Personal,2025-04-23,Rejected
LN0104,Mackenzie Smith,31,Male,244180,Salaried,781,660815,Business,2025-05-03,Approved
LN0105,Amanda Fox,39,Female,67318,Self-employed,570,1702195,Home Improvement,2024-09-11,Rejected
LN0106,Matthew Reed,33,Female,90175,Salaried,452,1955076,Education,2024-08-15,Rejected
LN0107,Tamara Blanchard,25,Male,116991,Self-employed,595,970971,Business,2025-06-15,Rejected
LN0108,Erica Sparks,40,Female,172735,Salaried,805,968046,Business,2024-04-10,Approved
LN0109,Stacy Butler,48,Female,346519,Salaried,393,530089,Home Improvement,2023-12-11,Rejected
LN0110,Jonathan Obrien,22,Female,332119,Salaried,479,1036711,Home Improvement,2023-10-29,Rejected
LN0111,Joseph Ramos,38,Male,336881,Salaried,803,241349,Medical,2024-04-25,Approved
LN0112,Austin Chen,42,Female,381342,Salaried,464,741648,Medical,2025-06-21,Rejected
LN0113,Kurt Francis,39,Female,456542,Self-employed,337,1003839,Business,2025-02-26,Rejected
LN0114,Robin Oconnor,41,Male,435037,Salaried,826,1779997,Business,2025-04-08,Approved
LN0115,Matthew Gilbert,55,Female,246660,Salaried,830,808706,Home Improvement,2023-09-28,Rejected
LN0116,Marissa Maldonado,49,Male,136723,Salaried,434,1995470,Education,2024-07-15,Rejected
LN0117,Wendy Evans,52,Male,45135,Unemployed,545,1538522,Personal,2024-06-09,Rejected
LN0118,Christopher Cobb,21,Female,78868,Salaried,416,1017726,Business,2024-09-27,Rejected
LN0119,Brian Reynolds,30,Female,405706,Salaried,579,921346,Medical,2024-12-05,Rejected
LN0120,Kimberly Buchanan,36,Female,319021,Salaried,495,1983297,Home Improvement,2023-11-15,Rejected
LN0121,Christopher Roberson,29,Male,174833,Self-employed,724,762770,Home Improvement,2023-09-16,Approved
LN0122,Daniel Ellis,21,Female,410659,Salaried,801,1864582,Personal,2023-07-29,Approved
LN0123,Amanda Smith,51,Female,204294,Salaried,686,1004926,Education,2023-10-26,Rejected
LN0124,Derrick Garcia,36,Female,152453,Self-employed,720,141535,Education,2024-05-14,Rejected
LN0125,Lauren Brown,45,Female,377964,Self-employed,455,1088779,Business,2024-07-27,Approved
LN0126,Aaron Marshall,58,Female,485973,Salaried,750,259110,Home Improvement,2024-06-18,Rejected
LN0127,Thomas Johnson,21,Male,244946,Self-employed,458,206926,Medical,2025-04-28,Rejected
LN0128,Patrick Montgomery MD,37,Female,356767,Self-employed,382,1836281,Education,2025-04-19,Rejected
LN0129,Christine Fields,55,Female,196021,Self-employed,799,1879519,Home Improvement,2023-12-08,Approved
LN0130,Samantha Huffman,25,Male,360910,Self-employed,594,527073,Business,2024-05-08,Rejected
LN0131,Chad Rose,27,Male,262615,Salaried,606,1944617,Business,2024-11-06,Approved
LN0132,Tina Franco,24,Female,217938,Salaried,449,562119,Home Improvement,2023-11-29,Rejected
LN0133,Michael Jones,32,Male,121786,Salaried,691,1349626,Personal,2024-04-26,Approved
LN0134,Jo Beck,58,Male,151733,Salaried,560,1013789,Education,2024-02-29,Rejected
LN0135,Emily Kidd,50,Female,385263,Salaried,375,976374,Education,2025-02-08,Rejected
LN0136,Jessica Grant,40,Female,391923,Salaried,609,467788,Medical,2024-03-16,Rejected
LN0137,Craig Watts,27,Male,229944,Salaried,602,1516494,Education,2023-09-10,Approved
LN0138,Brian Henson,46,Female,34245,Salaried,350,1959702,Home Improvement,2025-03-11,Rejected
LN0139,Angela Hart,39,Male,348276,Self-employed,524,1385084,Personal,2024-01-15,Rejected
LN0140,Michael Bailey,29,Male,358968,Self-employed,616,1703836,Medical,2024-08-15,Approved
LN0141,Timothy Anderson,44,Male,77255,Unemployed,634,1617580,Medical,2024-08-27,Approved
LN0142,Heather Kennedy,29,Female,308319,Salaried,579,1791627,Personal,2023-11-29,Approved
LN0143,Felicia Baldwin,51,Female,421412,Self-employed,417,1032162,Business,2025-02-12,Approved
LN0144,Richard Rodriguez,35,Female,473413,Self-employed,674,239378,Medical,2025-04-09,Approved
LN0145,Jamie Stewart,55,Male,268438,Salaried,568,1275911,Medical,2023-12-05,Rejected
LN0146,Sarah Chapman,44,Male,383808,Salaried,325,1349283,Home Improvement,2025-04-10,Rejected
LN0147,David Fernandez,60,Male,369556,Salaried,775,1957124,Education,2023-10-26,Approved
LN0148,George Phelps,28,Male,53774,Unemployed,611,1083108,Business,2024-08-05,Approved
LN0149,Whitney Porter,55,Male,233762,Salaried,729,1281741,Personal,2024-07-31,Rejected
LN0150,Amy Hanson,27,Female,352779,Salaried,586,118611,Education,2023-11-05,Approved
LN0151,Scott Sweeney,49,Male,478502,Salaried,676,1191827,Education,2024-10-21,Approved
LN0152,Christine Hamilton,38,Male,94046,Unemployed,765,242253,Personal,2023-09-04,Rejected
LN0153,Laura Smith,59,Male,56517,Self-employed,549,314081,Home Improvement,2023-12-05,Approved
LN0154,Eric Medina,56,Male,337433,Salaried,538,739039,Personal,2023-09-25,Rejected
LN0155,Courtney Braun,59,Male,175371,Self-employed,448,322613,Home Improvement,2023-07-25,Approved
LN0156,Cynthia Preston,32,Male,376584,Self-employed,434,81164,Education,2025-06-02,Rejected
LN0157,Jessica Escobar,36,Female,38273,Salaried,353,315831,Medical,2023-11-15,Rejected
LN0158,Misty Schneider,25,Female,265025,Self-employed,825,1295007,Business,2024-01-10,Approved
LN0159,Dr. Brian Rush Jr.,35,Male,411284,Self-employed,833,682564,Medical,2024-08-24,Approved
LN0160,Michele Foster,22,Male,281124,Self-employed,736,1488850,Business,2023-08-20,Approved
LN0161,Darin Miller,49,Male,72357,Salaried,451,187745,Personal,2024-01-22,Approved
LN0162,Melanie Johnson,58,Female,229703,Unemployed,843,668445,Medical,2023-08-02,Rejected
LN0163,Andrew Lynn,48,Male,445810,Self-employed,520,951922,Medical,2023-08-21,Rejected
LN0164,Melissa Jackson,47,Female,463805,Salaried,725,1580108,Business,2025-06-02,Approved
LN0165,Brittany Davis,41,Female,226241,Unemployed,785,190788,Business,2024-07-22,Rejected
LN0166,Jeremy Smith,26,Female,80627,Self-employed,681,1752403,Personal,2024-04-06,Approved
LN0167,Timothy Taylor,58,Female,381279,Salaried,662,1882087,Medical,2025-06-12,Rejected
LN0168,Nicole Green,24,Female,344787,Salaried,406,1261982,Home Improvement,2025-01-26,Approved
LN0169,Lisa Jones,51,Male,474216,Salaried,676,290931,Education,2023-11-19,Approved
LN0170,Kathryn Weaver,48,Male,349288,Unemployed,573,110719,Personal,2024-06-21,Approved
LN0171,Jeffrey Morton,40,Female,214037,Salaried,446,1237661,Medical,2025-03-03,Approved
LN0172,Sarah Reynolds,22,Male,421177,Salaried,685,930452,Medical,2024-10-06,Approved
LN0173,Jessica Anderson,44,Female,408324,Salaried,386,1902502,Business,2023-12-09,Approved
LN0174,Victoria House,60,Male,383353,Salaried,753,1438186,Medical,2023-12-10,Approved
LN0175,Brandon Rodriguez,49,Female,173218,Salaried,824,288692,Education,2024-03-16,Approved
LN0176,Eric Moody,39,Female,306265,Self-employed,346,512460,Medical,2023-09-26,Rejected
LN0177,Brian Mendez,24,Male,137176,Salaried,516,1659248,Personal,2024-05-29,Rejected
LN0178,Joshua Griffin,39,Female,92906,Salaried,740,418458,Personal,2025-05-25,Approved
LN0179,Vincent Mccormick,35,Female,67788,Salaried,343,964818,Business,2025-04-16,Rejected
LN0180,Christine Reyes,25,Female,331863,Salaried,714,1537927,Medical,2023-11-29,Approved
LN0181,Adam Mason,46,Male,200272,Salaried,771,1794884,Education,2025-01-08,Approved
LN0182,Travis Lane,27,Male,258419,Salaried,836,214934,Medical,2024-02-25,Rejected
LN0183,Gregory Gordon,42,Male,204623,Self-employed,378,1120561,Business,2025-03-22,Rejected
LN0184,Timothy Ortiz,33,Female,214077,Self-employed,451,545491,Business,2024-04-20,Approved
LN0185,Brandy Bailey,33,Male,345830,Salaried,377,421502,Medical,2024-06-21,Rejected
LN0186,Matthew Pham,57,Female,387110,Unemployed,630,1862457,Education,2024-05-11,Approved
LN0187,Thomas Drake,25,Female,261844,Self-employed,581,1290297,Business,2023-12-31,Rejected
LN0188,John Thomas,25,Female,272086,Salaried,358,823298,Education,2024-07-25,Approved
LN0189,Hannah Guzman,26,Female,272594,Salaried,342,993159,Home Improvement,2024-05-30,Rejected
LN0190,Micheal Green,41,Female,292860,Salaried,363,994815,Business,2024-09-30,Rejected
LN0191,Sherry Scott,42,Male,294528,Self-employed,340,569556,Medical,2023-10-21,Rejected
LN0192,Madeline Miranda,54,Male,220787,Salaried,589,862471,Medical,2023-10-13,Rejected
LN0193,Ann Guerrero,59,Male,443782,Self-employed,642,188227,Education,2023-12-04,Approved
LN0194,Jessica Gross,45,Female,162118,Self-employed,453,749110,Business,2025-01-22,Rejected
LN0195,Ryan Edwards,30,Female,192650,Unemployed,701,320431,Home Improvement,2024-07-03,Rejected
LN0196,Janet Jenkins,26,Female,323036,Salaried,636,1755372,Personal,2024-03-01,Approved
LN0197,Jeffrey Williams,54,Male,368703,Self-employed,820,808808,Business,2024-11-22,Approved
LN0198,Julie Diaz,32,Male,209166,Unemployed,797,452664,Personal,2023-09-27,Rejected
LN0199,Jose Shelton,30,Male,185080,Self-employed,403,1114702,Home Improvement,2024-02-11,Rejected
LN0200,Adam Stevens,54,Male,377041,Salaried,434,1302516,Medical,2023-11-22,Approved
LN0201,Justin Smith,32,Male,408107,Salaried,720,813991,Personal,2024-01-23,Rejected
LN0202,Gabrielle Conway,60,Female,424469,Self-employed,759,540739,Home Improvement,2024-06-22,Approved
LN0203,Michael Taylor,51,Male,222854,Self-employed,751,1018213,Education,2025-01-02,Rejected
LN0204,Christina Griffin,53,Female,114965,Self-employed,441,1880817,Education,2023-11-20,Approved
LN0205,Jesus Torres,51,Female,320739,Unemployed,828,1835024,Business,2025-06-07,Approved
LN0206,Angela White,31,Female,265572,Unemployed,450,1792831,Medical,2023-12-20,Approved
LN0207,Jennifer Harrison,35,Female,493800,Salaried,327,920101,Business,2023-07-17,Rejected
LN0208,Alice Mathis,44,Male,232462,Unemployed,683,520891,Business,2025-04-25,Rejected
LN0209,Stephanie Kelley,27,Female,444911,Salaried,339,651629,Medical,2023-08-13,Rejected
LN0210,Travis Valencia,29,Female,265196,Self-employed,381,89854,Education,2024-07-29,Approved
LN0211,Kyle Powell,30,Female,88293,Self-employed,543,681559,Business,2024-08-14,Approved
LN0212,Jennifer Ryan,47,Female,62929,Salaried,811,1301452,Home Improvement,2024-05-05,Approved
LN0213,Jessica Martin,53,Male,406724,Salaried,739,53280,Home Improvement,2024-06-15,Approved
LN0214,Derek Chan,57,Female,128206,Self-employed,387,1147826,Education,2025-05-28,Approved
LN0215,Louis Fowler,54,Male,234710,Self-employed,344,1383098,Medical,2023-08-25,Rejected
LN0216,Cameron Hardin,37,Male,217220,Self-employed,653,555677,Business,2024-07-14,Rejected
LN0217,Kelly Romero,42,Male,53244,Salaried,646,1756051,Personal,2023-12-07,Rejected
LN0218,Danielle Bowman,50,Female,361211,Salaried,438,182331,Medical,2024-10-06,Approved
LN0219,Emily Hensley,33,Male,444769,Salaried,342,711852,Education,2025-05-29,Rejected
LN0220,Steve Howell,55,Female,162809,Salaried,495,650018,Education,2023-11-18,Rejected
LN0221,Scott Butler,24,Female,173244,Salaried,676,966353,Medical,2024-01-18,Rejected
LN0222,Theresa Jackson,45,Female,127946,Salaried,809,820382,Home Improvement,2023-08-24,Approved
LN0223,Zachary Mccall,26,Female,71380,Salaried,484,1193942,Education,2024-04-18,Rejected
LN0224,Benjamin Mitchell,26,Female,376512,Salaried,756,1313789,Medical,2024-04-24,Approved
LN0225,Fred Anderson,49,Female,264424,Salaried,661,1339437,Medical,2025-04-01,Approved
LN0226,Jessica Francis,24,Male,381893,Self-employed,672,1126019,Personal,2024-11-06,Rejected
LN0227,Rebecca Delgado,30,Female,48244,Salaried,541,1682665,Education,2025-02-16,Rejected
LN0228,Robert Blackwell,57,Male,347243,Salaried,760,827968,Education,2024-09-02,Approved
LN0229,David Fletcher,25,Male,307589,Salaried,621,1412227,Education,2024-05-06,Approved
LN0230,Edwin Fitzgerald,28,Male,415705,Salaried,830,861571,Home Improvement,2025-06-11,Approved
LN0231,Dustin Holmes,37,Female,142496,Unemployed,592,1505382,Medical,2024-10-01,Approved
LN0232,Ryan Arias MD,29,Male,267000,Salaried,755,234110,Education,2024-04-26,Approved
LN0233,Andrew Schwartz,25,Female,497314,Salaried,461,1542771,Personal,2024-09-01,Rejected
LN0234,Stephen Hall,53,Male,93628,Unemployed,442,546471,Medical,2023-07-17,Approved
LN0235,Gabriel Brown,56,Female,275055,Self-employed,432,1333348,Business,2023-08-06,Approved
LN0236,Mary Ferguson,46,Female,305615,Salaried,719,1776667,Home Improvement,2025-04-03,Approved
LN0237,Belinda Anderson,41,Male,265916,Salaried,829,772499,Personal,2023-08-26,Rejected
LN0238,Rebecca Long,56,Male,432538,Unemployed,743,1104581,Business,2024-03-19,Rejected
LN0239,Sharon Armstrong,54,Male,189448,Salaried,630,1537577,Personal,2024-11-24,Approved
LN0240,Sean Thompson,54,Female,473512,Salaried,501,1381811,Home Improvement,2025-01-21,Approved
LN0241,Gregory Neal,40,Male,293493,Self-employed,457,409033,Home Improvement,2025-06-26,Rejected
LN0242,Laura West,59,Female,471728,Unemployed,342,1780645,Business,2025-04-22,Approved
LN0243,Jason Scott,57,Female,371379,Salaried,726,1346267,Business,2024-05-25,Approved
LN0244,Gina Weber,55,Female,366544,Unemployed,794,563546,Medical,2023-12-23,Approved
LN0245,Lance Wright,25,Male,112879,Salaried,795,1024005,Personal,2023-08-09,Approved
LN0246,Martha Jimenez,30,Female,481666,Self-employed,653,886169,Personal,2025-05-05,Rejected
LN0247,Zachary Walker,53,Male,197308,Salaried,425,610928,Medical,2023-08-12,Approved
LN0248,Krystal Aguilar,27,Male,182154,Unemployed,728,570660,Personal,2023-09-14,Rejected
LN0249,Christopher Rocha,57,Female,129527,Self-employed,810,1129456,Medical,2025-06-23,Approved
LN0250,Nathan Holland,40,Female,42151,Salaried,702,1109993,Medical,2024-02-09,Rejected
LN0251,Erica Quinn,34,Female,55510,Salaried,806,1303087,Medical,2023-07-18,Approved
LN0252,Russell Mccullough,21,Male,255930,Salaried,570,1575694,Education,2023-10-11,Rejected
LN0253,Regina Thomas,44,Male,240020,Salaried,499,810267,Home Improvement,2024-06-11,Approved
LN0254,Kristie Harris,45,Female,430767,Salaried,421,319826,Business,2024-04-22,Rejected
LN0255,Scott Rowe,42,Female,425819,Salaried,821,891769,Home Improvement,2025-05-18,Approved
LN0256,Brent Boyd,23,Male,404127,Salaried,785,1139119,Medical,2024-01-10,Approved
LN0257,Mr. Kyle Best,53,Male,201948,Unemployed,626,390791,Medical,2025-02-13,Rejected
LN0258,Christopher Tanner,40,Female,295979,Self-employed,845,1077282,Home Improvement,2024-08-31,Approved
LN0259,Joshua Blackburn,22,Female,203664,Self-employed,726,1274112,Education,2024-06-03,Rejected
LN0260,Ashley Lewis,22,Female,169214,Unemployed,533,1562885,Business,2024-05-27,Rejected
LN0261,Veronica Fowler,31,Female,107477,Self-employed,548,116208,Home Improvement,2024-03-10,Rejected
LN0262,Sabrina Hunt,28,Male,39928,Salaried,728,367574,Medical,2025-02-14,Approved
LN0263,Allison Meadows,47,Female,487607,Self-employed,363,1530117,Personal,2025-06-30,Rejected
LN0264,Jennifer Simmons,56,Female,377197,Salaried,685,707986,Personal,2023-12-12,Approved
LN0265,Cheryl Bell,55,Female,316404,Salaried,570,1329423,Medical,2025-06-25,Approved
LN0266,Joseph Sexton,36,Female,322598,Salaried,604,1667269,Education,2024-04-24,Rejected
LN0267,Cynthia Obrien,52,Female,281555,Salaried,580,653538,Business,2023-12-30,Rejected
LN0268,Beth Merritt,55,Female,499636,Unemployed,653,1671233,Personal,2025-01-29,Approved
LN0269,Jeff Ramirez,39,Male,211594,Unemployed,562,1617282,Medical,2023-12-13,Approved
LN0270,Melanie Wright,55,Female,324659,Self-employed,440,279064,Home Improvement,2024-09-17,Rejected
LN0271,Dr. Anne Friedman,36,Male,56615,Self-employed,843,523267,Personal,2024-11-10,Approved
LN0272,Paul Wright,47,Female,406102,Salaried,440,60866,Home Improvement,2024-01-02,Rejected
LN0273,Hunter Gonzalez,31,Female,372303,Unemployed,787,1051282,Personal,2025-05-03,Rejected
LN0274,Paula Rice,39,Female,179639,Self-employed,391,1417969,Home Improvement,2024-09-17,Approved
LN0275,Anthony Collins,23,Male,249092,Self-employed,480,1978613,Business,2024-12-04,Rejected
LN0276,Christopher Brown,46,Female,127680,Unemployed,596,1888663,Business,2023-12-18,Approved
LN0277,Michael Smith,57,Male,205658,Salaried,836,1085809,Personal,2023-07-26,Rejected
LN0278,Debra Monroe,50,Female,131088,Self-employed,638,390775,Medical,2024-09-25,Approved
LN0279,Megan Erickson,32,Male,416199,Salaried,602,1240723,Personal,2024-01-26,Approved
LN0280,Victoria Allen,46,Female,300155,Salaried,710,1453531,Business,2023-08-25,Approved
LN0281,Edward Moreno,29,Female,199660,Unemployed,306,596906,Medical,2025-06-05,Approved
LN0282,Alexander Walker,38,Female,188306,Salaried,311,598516,Education,2023-09-02,Rejected
LN0283,Barry Richardson,24,Male,274001,Salaried,715,1488800,Home Improvement,2024-04-23,Rejected
LN0284,Michael Salazar,40,Male,364868,Unemployed,602,820795,Home Improvement,2023-12-07,Approved
LN0285,Gregory Smith,29,Female,110313,Salaried,682,922091,Home Improvement,2023-12-25,Rejected
LN0286,Carolyn Morris,55,Male,429433,Salaried,383,1152067,Medical,2024-11-07,Rejected
LN0287,Joseph Gonzalez MD,44,Male,325786,Salaried,817,473953,Home Improvement,2024-05-06,Approved
LN0288,Jeremy Horn,31,Female,477996,Salaried,419,1476682,Personal,2024-03-31,Rejected
